in_channels,f_height,subsampling_factor,latency_mean
86,9,2,0.03725358983501792
91,9,1,0.0010774401016533375
91,9,2,0.026562041603028774
96,9,1,0.0017365417443215847
96,9,2,0.027919700369238853
101,9,1,0.0010754400864243507
101,9,2,0.030885969754308466
106,9,1,0.0010758684948086739
106,9,2,0.029994421638548374
111,9,1,0.0010932981967926025
111,9,2,0.03125140909105539
116,9,1,0.001079309731721878
116,9,2,0.048011529725044966
121,9,1,0.0013556703925132751
121,9,2,0.033461039420217276
126,9,1,0.0013120821677148342
126,9,2,0.051722920034080744
131,9,1,0.0010773306712508202
131,9,2,0.053764479234814644
136,9,1,0.0010871514678001404
136,9,2,0.06528333993628621
141,9,1,0.0010758312419056892
141,9,2,0.041940498631447554
146,9,1,0.001071118749678135
146,9,2,0.05880611017346382
1,10,1,0.0010892096906900406
1,10,2,0.004898412153124809
6,10,1,0.0010878616012632847
6,10,2,0.006979089230298996
11,10,1,0.0010855216532945633
11,10,2,0.008783410303294659
16,10,1,0.002063838765025139
16,10,2,0.015181249473243952
21,10,1,0.0010748510248959064
21,10,2,0.012668659910559654
26,10,1,0.001076660118997097
26,10,2,0.020712309051305056
31,10,1,0.0010723201557993889
31,10,2,0.023566859308630228
36,10,1,0.0021651387214660645
36,10,2,0.03369323909282684
41,10,1,0.0013055303134024143
41,10,2,0.02921207109466195
46,10,1,0.0010695797391235828
46,10,2,0.03198966849595308
51,10,1,0.0010766880586743355
51,10,2,0.02445683814585209
56,10,1,0.0018395506776869297
56,10,2,0.03788133850321174
61,10,1,0.0018119090236723423
61,10,2,0.029056428465992212
66,10,1,0.001069740392267704
66,10,2,0.029911280144006014
71,10,1,0.0013263104483485222
71,10,2,0.03209790913388133
76,10,1,0.001322838943451643
76,10,2,0.04961298080161214
81,10,1,0.0010810093954205513
81,10,2,0.035918878857046366
86,10,1,0.0010732794180512428
86,10,2,0.037653211038559675
91,10,1,0.001077589113265276
91,10,2,0.04009725991636515
96,10,1,0.0019969092682003975
96,10,2,0.06609813077375293
101,10,1,0.0018680118955671787
101,10,2,0.05536630982533097
106,10,1,0.0010725390166044235
106,10,2,0.04611253971233964
111,10,1,0.0010854401625692844
111,10,2,0.046994120348244905
116,10,1,0.0014898693189024925
116,10,2,0.05583579884842038
121,10,1,0.001092609018087387
121,10,2,0.07368879858404398
126,10,1,0.0010753213427960873
126,10,2,0.05843295017257333
131,10,1,0.0010687694884836674
131,10,2,0.07944815093651414
136,10,1,0.0012965197674930096
136,10,2,0.08290759054943919
141,10,1,0.0015738396905362606
141,10,2,0.10072063887491822
146,10,1,0.0022036582231521606
146,10,2,0.08799490984529257
1,11,1,0.0010851281695067883
1,11,2,0.005455119535326958
6,11,1,0.0010837195441126823
6,11,2,0.013458251487463713
11,11,1,0.0010846182703971863
11,11,2,0.008792798034846783
16,11,1,0.0014664209447801113
16,11,2,0.010939659550786018
21,11,1,0.001574680209159851
21,11,2,0.01801184145733714
26,11,1,0.0010924600064754486
26,11,2,0.020880759693682194
31,11,1,0.0015569687820971012
31,11,2,0.02379901008680463
36,11,1,0.001586470752954483
36,11,2,0.02643604064360261
