in_channels,f_height,max_channels,num_masks,latency_mean
6,4,86,3,0.10963940992951393
6,4,86,4,0.1104475511237979
6,4,86,5,0.11237372877076268
6,4,91,1,0.10376295074820518
6,4,91,2,0.11062233010306954
6,4,91,3,0.11052388930693269
6,4,91,4,0.11076986091211438
6,4,91,5,0.10981284081935883
6,4,96,1,0.09387382073327899
6,4,96,2,0.11004445841535926
6,4,96,3,0.10994876967743039
6,4,96,4,0.10989959118887782
6,4,96,5,0.10940592037513852
6,4,101,1,0.06540765054523945
6,4,101,2,0.07597771007567644
6,4,101,3,0.07734972983598709
6,4,101,4,0.07828328991308808
6,4,101,5,0.07613543188199401
6,4,106,1,0.07482434855774045
6,4,106,2,0.07892149034887552
6,4,106,3,0.0766331609338522
6,4,106,4,0.07639151997864246
6,4,106,5,0.07643983932211995
6,4,111,1,0.07557908073067665
6,4,111,2,0.07565235020592809
6,4,111,3,0.07589458953589201
6,4,111,4,0.07655430119484663
6,4,111,5,0.07628061110153794
6,4,116,1,0.0769513612613082
6,4,116,2,0.07782898843288422
6,4,116,3,0.07677506888285279
6,4,116,4,0.07729036966338754
6,4,116,5,0.07953181862831116
6,4,121,1,0.07553587900474668
6,4,121,2,0.07663856027647853
6,4,121,3,0.0764718116261065
6,4,121,4,0.0773511896841228
6,4,121,5,0.0780801591463387
6,4,126,1,0.0761828594841063
6,4,126,2,0.07741776993498206
6,4,126,3,0.07646562065929174
6,4,126,4,0.07634430890902877
6,4,126,5,0.07779475999996066
6,4,131,1,0.076103201135993
6,4,131,2,0.07540259044617414
6,4,131,3,0.07707739947363734
6,4,131,4,0.07658098824322224
6,4,131,5,0.07710443111136556
6,4,136,1,0.08084720000624657
6,4,136,2,0.07645945064723492
6,4,136,3,0.07618432166054845
6,4,136,4,0.07583224913105369
6,4,136,5,0.07732640951871872
6,4,141,1,0.07560634985566139
6,4,141,2,0.07615300128236413
6,4,141,3,0.07642955984920263
6,4,141,4,0.07665790151804686
6,4,141,5,0.07704492891207337
6,4,146,1,0.07683458970859647
6,4,146,2,0.08343845838680863
6,4,146,3,0.0770270498469472
6,4,146,4,0.07844525156542659
6,4,146,5,0.07771603995934129
11,4,11,1,0.048254060093313456
11,4,11,2,0.04801474045962095
11,4,11,3,0.04887406947091222
11,4,11,4,0.048435209318995476
11,4,11,5,0.04878119099885225
11,4,16,1,0.062182561960071325
11,4,16,2,0.06561625050380826
11,4,16,3,0.0628457497805357
11,4,16,4,0.07387852994725108
11,4,16,5,0.07427780888974667
11,4,21,1,0.06465327925980091
11,4,21,2,0.0636292202398181
11,4,21,3,0.0631718011572957
11,4,21,4,0.07264270912855864
11,4,21,5,0.07451824145391583
11,4,26,1,0.06310814060270786
11,4,26,2,0.06491824984550476
11,4,26,3,0.06493400083854795
11,4,26,4,0.07535337004810572
11,4,26,5,0.07429864024743438
11,4,31,1,0.06266744807362556
11,4,31,2,0.063320801127702
11,4,31,3,0.07379109039902687
11,4,31,4,0.07433749968186021
11,4,31,5,0.07453684927895665
11,4,36,1,0.06379683967679739
11,4,36,2,0.06342065054923296
11,4,36,3,0.10810756823047996
11,4,36,4,0.1089157210662961
11,4,36,5,0.10817872127518058
11,4,41,1,0.09319625096395612
11,4,41,2,0.09323461912572384
11,4,41,3,0.10779696982353926
11,4,41,4,0.11850576149299741
11,4,41,5,0.1095509110018611
11,4,46,1,0.09247462032362819
11,4,46,2,0.09491786127910018
11,4,46,3,0.10855362983420491
11,4,46,4,0.10830538114532828
11,4,46,5,0.10835050838068128
11,4,51,1,0.09313798975199461
11,4,51,2,0.06743543082848191
11,4,51,3,0.07445094874128699
11,4,51,4,0.07472284138202667
11,4,51,5,0.07455503800883889
11,4,56,1,0.06318856962025166
11,4,56,2,0.07075246889144182
11,4,56,3,0.07439658977091312
11,4,56,4,0.07525392109528184
11,4,56,5,0.07413154002279043
11,4,61,1,0.06367298075929284
